,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
675,Sherlock Jr.,1924,"Action, Comedy, Romance",8.2,,40215,45,Passed
138,5 Centimeters Per Second,2007,"Animation, Drama, Family",7.6,,49638,63,TV-PG
286,Freaks,1932,"Drama, Horror",7.9,80.0,41356,64,Not Rated
136,Battleship Potemkin,1925,"Drama, History, Thriller",8.0,,52058,66,Not Rated
784,The General,1926,"Action, Adventure, Comedy",8.1,,79294,67,Passed
192,The Cabinet of Dr. Caligari,1920,"Fantasy, Horror, Mystery",8.1,,55994,67,Not Rated
815,The Kid,1921,"Comedy, Drama, Family",8.3,,110085,68,Passed
241,Duck Soup,1933,"Comedy, Musical, War",7.8,93.0,54918,69,Not Rated
285,Frankenstein,1931,"Drama, Horror, Romance",7.8,91.0,63746,70,Passed
811,The Invisible Man,1933,"Horror, Sci-Fi",7.7,87.0,29533,71,TV-PG
760,The Circus,1928,"Comedy, Romance",8.1,90.0,28222,72,Passed
131,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",7.8,95.0,42462,75,Not Rated
874,The Secret of Kells,2009,"Animation, Adventure, Family",7.6,81.0,30576,75,Not Rated
853,The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",8.0,82.0,286765,76,PG
90,Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",7.8,,42819,76,PG
814,The Jungle Book,1967,"Animation, Adventure, Family",7.6,65.0,163194,78,G
991,Zelig,1983,Comedy,7.7,,39339,79,PG
649,Rope,1948,"Crime, Drama, Mystery",8.0,73.0,126771,80,Approved
490,Run Lola Run,1998,"Crime, Drama, Thriller",7.6,77.0,186448,80,R
386,Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",7.7,92.0,44078,80,Not Rated
476,The Triplets of Belleville,2003,"Animation, Comedy, Drama",7.8,91.0,50056,80,PG-13
96,Before Sunset,2004,"Drama, Romance",8.1,90.0,230376,80,R
464,Le Dîner de Cons,1998,Comedy,7.7,73.0,36760,80,PG-13
921,Toy Story,1995,"Animation, Adventure, Comedy",8.3,95.0,868830,81,G
622,Perfect Blue,1997,"Animation, Crime, Mystery",8.0,,54964,81,R
700,"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",7.7,73.0,190364,81,R
864,The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",7.7,75.0,46335,82,PG
908,This Is Spinal Tap,1984,"Comedy, Music",7.9,92.0,127077,82,R
875,The Secret of NIMH,1982,"Animation, Adventure, Drama",7.6,76.0,35651,82,G
643,Robin Hood,1973,"Animation, Adventure, Comedy",7.6,57.0,113332,83,G
436,Ghost in the Shell,1995,"Animation, Action, Crime",8.0,76.0,126259,83,TV-MA
605,Persona,1966,"Drama, Thriller",8.1,86.0,99879,83,Not Rated
830,The Little Mermaid,1989,"Animation, Family, Fantasy",7.6,88.0,232992,83,G
696,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",7.6,95.0,178044,83,Approved
