,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
227,Fallen Angels,1995,"Comedy, Crime, Drama",7.7,71.0,25009,99,R
831,The Long Goodbye,1973,"Comedy, Crime, Drama",7.6,87.0,25476,112,R
370,In a Lonely Place,1950,"Drama, Film-Noir, Mystery",8.0,,25591,94,Not Rated
839,The Magdalene Sisters,2002,Drama,7.7,83.0,25670,114,R
821,The Ladykillers,1955,"Comedy, Crime",7.7,91.0,25736,91,Not Rated
312,Joint Security Area,2000,"Action, Drama, Thriller",7.8,58.0,25752,110,Not Rated
577,Only Yesterday,1991,"Animation, Drama, Romance",7.6,90.0,25803,118,PG
437,L'Avventura,1960,"Drama, Mystery",7.9,,25845,144,Not Rated
145,Cape Fear,1962,"Drama, Thriller",7.7,76.0,25868,106,Passed
890,The Thin Man,1934,"Comedy, Crime, Mystery",8.0,,25905,91,TV-PG
886,The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",7.7,68.0,25944,104,R
483,Lifeboat,1944,"Drama, War",7.6,78.0,25988,97,Not Rated
809,The Innocents,1961,Horror,7.8,88.0,26090,100,Not Rated
651,Lupin the 3rd: Castle of Cagliostro,1979,"Animation, Adventure, Family",7.7,71.0,26125,102,PG-13
403,The Virgin Spring,1960,Drama,8.1,,26154,89,Not Rated
366,The Conformist,1970,Drama,8.0,100.0,26233,113,R
452,The Rules of the Game,1939,"Comedy, Drama",8.0,,26239,110,Not Rated
940,Udta Punjab,2016,"Action, Crime, Drama",7.8,,26495,148,TV-MA
477,Eyes Without a Face,1960,"Drama, Horror",7.7,90.0,26544,90,Not Rated
83,Badhaai Ho,2018,"Comedy, Drama, Family",8.0,,26697,124,Not Rated
379,Inherit the Wind,1960,"Biography, Drama, History",8.1,75.0,26815,128,Passed
878,The Shop Around the Corner,1940,"Comedy, Drama, Romance",8.1,96.0,26957,99,Not Rated
240,Rififi,1955,"Crime, Drama, Thriller",8.2,97.0,27060,118,Not Rated
955,Vivre Sa Vie,1962,Drama,8.0,,27100,85,Not Rated
331,Fireworks,1997,"Crime, Drama, Romance",7.8,,27118,103,18
579,On Golden Pond,1981,Drama,7.6,68.0,27131,109,PG
428,Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",8.0,,27153,87,Not Rated
400,Joyeux Noel,2005,"Drama, History, Music",7.7,70.0,27198,116,PG-13
960,Wait Until Dark,1967,Thriller,7.8,81.0,27266,108,Not Rated
302,Gilda,1946,"Drama, Film-Noir, Romance",7.7,,27387,110,Not Rated
724,Sweet Smell of Success,1957,"Drama, Film-Noir",8.1,100.0,27415,96,Approved
43,All That Jazz,1979,"Drama, Music, Musical",7.9,72.0,27486,123,R
635,Red River,1948,"Action, Adventure, Drama",7.8,,27605,133,Passed
350,Hiroshima Mon Amour,1959,"Drama, Romance",7.9,,27629,90,Not Rated
912,To Be or Not to Be,1942,"Comedy, War",8.2,86.0,28100,99,Passed
467,Contempt,1963,"Drama, Romance",7.6,,28201,102,Not Rated
760,The Circus,1928,"Comedy, Romance",8.1,90.0,28222,72,Passed
205,Death Note,2006,"Crime, Drama, Fantasy",7.7,,28277,126,Not Rated
